,CLASSNAME,landfire140,landfire200,tau,k
158,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,3056,7056,0.16,0.074
164,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,3051,7051,0.16,0.074
165,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,3166,7166,0.16,0.074
166,Mediterranean California Mesic Mixed Conifer Forest and Woodland,3028,7028,0.16,0.074
167,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,3052,7052,0.16,0.074
170,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,3047,7047,0.16,0.074
174,Rocky Mountain Lodgepole Pine Forest,3050,7050,0.16,0.074
175,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,3058,7058,0.16,0.074
176,Rocky Mountain Poor-Site Lodgepole Pine Forest,3167,7167,0.16,0.074
187,Mediterranean California Mixed Evergreen Forest,3043,7043,0.16,0.074
687,Sequoiadendron giganteum Forest Alliance,3231,,0.16,0.074
692,Pinus sabiniana Woodland Alliance,3230,,0.16,0.074
6,Western Cool Temperate Urban Evergreen Forest,3901,7901,0.2,0.04
7,Western Cool Temperate Urban Mixed Forest,3902,7902,0.2,0.04
9,Western Cool Temperate Urban Shrubland,3904,7904,0.2,0.04
17,Western Warm Temperate Urban Mixed Forest,3912,7912,0.2,0.04
21,Western Cool Temperate Developed Ruderal Evergreen Forest,3921,7921,0.2,0.04
156,Northern California Mesic Subalpine Woodland,3044,7044,0.2,0.04
157,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,3055,7055,0.2,0.04
159,Mediterranean California Red Fir Forest,3032,7032,0.2,0.04
160,Northern Rocky Mountain Subalpine Woodland and Parkland,3046,7046,0.2,0.04
161,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,3020,7020,0.2,0.04
163,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,3045,7045,0.2,0.04
178,Rocky Mountain Foothill Limber Pine-Juniper Woodland,3049,7049,0.2,0.04
190,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,3053,7053,0.2,0.04
191,Southern Rocky Mountain Ponderosa Pine Woodland,3054,7054,0.2,0.04
202,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,3027,7027,0.2,0.04
203,Mediterranean California Mixed Oak Woodland,3029,7029,0.2,0.04
204,Mediterranean California Lower Montane Conifer Forest and Woodland,3030,7030,0.2,0.04
213,Mediterranean California Subalpine Woodland,3033,7033,0.2,0.04
380,Colorado Plateau Pinyon-Juniper Woodland,3016,7016,0.2,0.04
382,Southern Rocky Mountain Pinyon-Juniper Woodland,3059,7059,0.2,0.04
448,Western Cool Temperate Undeveloped Ruderal Evergreen Forest,3941,,0.2,0.04
651,Pinus albicaulis Woodland Alliance,3229,,0.2,0.04
652,Dry-mesic Montane Douglas-fir Forest,3227,,0.2,0.04
653,Subalpine Douglas-fir Forest,3233,,0.2,0.04
654,Mesic Montane Douglas-fir Forest,3234,,0.2,0.04
655,Xeric Montane Douglas-fir Forest,3235,,0.2,0.04
656,Abies concolor Forest Alliance,3208,,0.2,0.04
660,Abies grandis Forest Forest,3232,,0.2,0.04
681,Inter-Mountain Basins Montane Riparian Forest and Woodland,3154,,0.2,0.04
689,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,3031,,0.2,0.04
690,Mediterranean California Mesic Serpentine Woodland and Chaparral,3034,,0.2,0.04
19,Western Warm Temperate Urban Shrubland,3914,7914,0.3,0.033
26,Western Warm Temperate Developed Ruderal Evergreen Forest,3926,7926,0.3,0.033
27,Western Warm Temperate Developed Ruderal Mixed Forest,3927,7927,0.3,0.033
28,Western Warm Temperate Developed Ruderal Shrubland,3928,7928,0.3,0.033
102,Western Cool Temperate Vineyard,3961,7961,0.3,0.033
119,Western Warm Temperate Vineyard,3981,7981,0.3,0.033
162,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,3057,7057,0.3,0.033
188,Northern Rocky Mountain Conifer Swamp,3161,7161,0.3,0.033
193,Southern Rocky Mountain Ponderosa Pine Savanna,3117,7117,0.3,0.033
205,Mediterranean California Lower Montane Black Oak Forest and Woodland,3260,7260,0.3,0.033
208,Central and Southern California Mixed Evergreen Woodland,3014,7014,0.3,0.033
325,Columbia Plateau Western Juniper Woodland and Savanna,3017,7017,0.3,0.033
341,Mediterranean California Alpine Fell-Field,3067,7067,0.3,0.033
356,Great Basin Xeric Mixed Sagebrush Shrubland,3079,7079,0.3,0.033
363,Great Basin Pinyon-Juniper Woodland,3019,7019,0.3,0.033
364,Inter-Mountain Basins Juniper Savanna,3115,7115,0.3,0.033
369,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,3062,7062,0.3,0.033
383,Southern Rocky Mountain Juniper Woodland and Savanna,3119,7119,0.3,0.033
387,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,3087,7087,0.3,0.033
684,Inter-Mountain Basins Montane Riparian Shrubland,3255,,0.3,0.033
688,Mediterranean California Lower Montane Black Oak - Conifer Forest and Woodland,3261,,0.3,0.033
735,California Montane Riparian Systems,3152,,0.3,0.033
742,Grayia spinosa Shrubland Alliance,3211,,0.3,0.033
875,California Montane Jeffrey Pine-(Ponderosa Pine) Woodland,,7031,0.3,0.033
734,California Central Valley Riparian Forest and Woodland,3151,,0.4,0.025
5,Western Cool Temperate Urban Deciduous Forest,3900,7900,0.44,0.025
15,Western Warm Temperate Urban Deciduous Forest,3910,7910,0.44,0.025
16,Western Warm Temperate Urban Evergreen Forest,3911,7911,0.44,0.025
20,Western Cool Temperate Developed Ruderal Deciduous Forest,3920,7920,0.44,0.025
25,Western Warm Temperate Developed Ruderal Deciduous Forest,3925,7925,0.44,0.025
101,Western Cool Temperate Orchard,3960,7960,0.44,0.025
118,Western Warm Temperate Orchard,3980,7980,0.44,0.025
172,Rocky Mountain Aspen Forest and Woodland,3011,7011,0.44,0.025
173,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,3061,7061,0.44,0.025
210,California Lower Montane Foothill Pine Woodland and Savanna,3114,7114,0.44,0.025
447,Western Cool Temperate Undeveloped Ruderal Deciduous Forest,3940,,0.44,0.025
531,Introduced Riparian Forest and Woodland,3180,,0.44,0.025
658,Subalpine Western Larch Forest,3236,,0.44,0.025
659,Mesic Montane Western Larch Forest,3237,,0.44,0.025
