veg,tau,k,CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS
3001,1.0,0.0,Inter-Mountain Basins Sparsely Vegetated Systems,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3002,1.0,0.0,Mediterranean California Sparsely Vegetated Systems,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3006,1.0,0.0,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,2006,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3011,0.44,0.025,Rocky Mountain Aspen Forest and Woodland,2011,Tr Rocky Mountain Aspen Forest and Woodland,Tree,602,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3017,0.3,0.033,Columbia Plateau Western Juniper Woodland and Savanna,2017,Tr Columbia Plateau Western Juniper Woodland and Savanna,Tree,620,Conifer,Juniper Woodland and Savanna,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3019,0.3,0.033,Great Basin Pinyon-Juniper Woodland,2019,Tr Great Basin Pinyon-Juniper Woodland,Tree,630,Conifer,Pinyon-Juniper Woodland,SRM 412: Juniper-Pinyon Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3020,0.2,0.04,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,2020,Tr Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Tree,621,Conifer,Limber Pine Woodland,SAF 209: Bristlecone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3027,0.2,0.04,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,2027,Tr Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Tree,625,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 243: Sierra Nevada Mixed Conifer,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3028,0.16,0.07400000000000001,Mediterranean California Mesic Mixed Conifer Forest and Woodland,2028,Tr Mediterranean California Mesic Mixed Conifer Forest and Woodland,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3029,0.2,0.04,Mediterranean California Mixed Oak Woodland,2029,Tr Mediterranean California Mixed Oak Woodland,Tree,629,Hardwood,Western Oak Woodland and Savanna,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy
